                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4767,                 1.2973,                  1.295,                0.90618,                0.48298,                0.55298,                0.32888,                  1.455,                 1.0155,                 1.3929,             0.00047443,             0.00047443,             0.00047443
                      2,                  1.436,                0.98801,                 1.2907,                 0.9062,                0.51849,                0.56765,                0.33709,                 1.4475,                 1.0049,                 1.3598,             0.00094135,             0.00094135,             0.00094135
                      3,                 1.4303,                0.97489,                 1.3016,                0.90858,                0.49257,                0.55737,                0.32789,                 1.4672,                0.93174,                 1.4191,              0.0013988,              0.0013988,              0.0013988
                      4,                 1.4055,                0.93086,                 1.2931,                 0.9202,                0.51571,                0.57883,                0.36023,                   1.38,                0.88138,                 1.3495,              0.0013866,              0.0013866,              0.0013866
                      5,                 1.3747,                0.88413,                 1.2748,                0.91723,                0.54517,                0.59225,                0.37203,                 1.3748,                0.81168,                  1.334,              0.0013724,              0.0013724,              0.0013724
                      6,                 1.3514,                0.85277,                 1.2645,                0.92129,                0.55067,                0.59844,                0.37199,                 1.3653,                0.80588,                  1.333,              0.0013583,              0.0013583,              0.0013583
                      7,                  1.333,                0.82739,                 1.2434,                0.91648,                0.55549,                0.60844,                0.36988,                  1.381,                0.78378,                 1.3441,              0.0013441,              0.0013441,              0.0013441
                      8,                 1.3244,                0.80707,                 1.2343,                0.93465,                0.56716,                0.61663,                0.38657,                 1.3206,                0.71468,                 1.3031,                0.00133,                0.00133,                0.00133
                      9,                 1.3074,                0.77007,                 1.2268,                0.94583,                0.55891,                0.61704,                0.38883,                 1.3265,                0.72919,                 1.3003,              0.0013158,              0.0013158,              0.0013158
                     10,                 1.2886,                0.76986,                 1.2244,                0.92372,                0.56975,                0.61478,                0.38942,                 1.3243,                 0.7333,                 1.3105,              0.0013017,              0.0013017,              0.0013017
                     11,                 1.2781,                0.75057,                 1.2072,                0.92441,                0.56865,                0.61881,                0.39184,                 1.3008,                0.71546,                 1.2866,              0.0012875,              0.0012875,              0.0012875
                     12,                 1.2808,                0.75114,                 1.2175,                0.93175,                0.57519,                0.62116,                0.40197,                 1.2837,                0.68511,                 1.2809,              0.0012734,              0.0012734,              0.0012734
                     13,                 1.2701,                0.73553,                 1.2107,                0.92942,                0.56604,                0.61572,                0.39421,                 1.3029,                0.71092,                 1.2909,              0.0012592,              0.0012592,              0.0012592
                     14,                  1.267,                0.73328,                 1.2087,                0.92813,                0.58197,                 0.6246,                0.39953,                  1.299,                0.67626,                 1.3036,              0.0012451,              0.0012451,              0.0012451
                     15,                 1.2613,                0.72255,                 1.2055,                0.93946,                0.57664,                0.62815,                0.40142,                 1.2847,                0.67243,                 1.2758,              0.0012309,              0.0012309,              0.0012309
                     16,                 1.2521,                0.70579,                 1.1985,                0.60941,                 0.5827,                0.62766,                0.40665,                 1.2687,                0.66041,                 1.2666,              0.0012168,              0.0012168,              0.0012168
                     17,                 1.2363,                0.70209,                 1.1914,                0.94023,                0.58472,                0.62833,                0.40623,                 1.2783,                0.65584,                 1.2763,              0.0012026,              0.0012026,              0.0012026
                     18,                 1.2283,                0.68545,                 1.1823,                0.93455,                0.57992,                  0.631,                0.41112,                 1.2716,                 0.6602,                 1.2733,              0.0011885,              0.0011885,              0.0011885
                     19,                 1.2319,                0.69163,                 1.1846,                0.94015,                0.58158,                0.62983,                0.41116,                 1.2787,                0.65299,                 1.2727,              0.0011744,              0.0011744,              0.0011744
                     20,                 1.2195,                0.67967,                 1.1775,                0.94696,                 0.5779,                0.63042,                0.41002,                 1.2909,                   0.64,                 1.2822,              0.0011602,              0.0011602,              0.0011602
                     21,                 1.2158,                0.67838,                 1.1691,                0.94121,                 0.5798,                  0.631,                0.41137,                 1.2653,                0.64832,                 1.2734,              0.0011461,              0.0011461,              0.0011461
                     22,                 1.2055,                0.66098,                 1.1693,                0.94685,                0.57388,                0.62992,                0.40777,                  1.276,                0.64619,                  1.276,              0.0011319,              0.0011319,              0.0011319
                     23,                 1.2061,                0.67327,                 1.1767,                0.93903,                0.58107,                0.63286,                0.41213,                 1.2662,                0.64578,                 1.2625,              0.0011178,              0.0011178,              0.0011178
                     24,                 1.2065,                0.65556,                 1.1663,                0.95111,                0.57736,                0.62957,                0.40936,                 1.2741,                0.63709,                 1.2718,              0.0011036,              0.0011036,              0.0011036
                     25,                 1.2057,                0.66285,                 1.1742,                0.95118,                0.58093,                0.63716,                0.41142,                 1.2622,                0.62674,                 1.2634,              0.0010895,              0.0010895,              0.0010895
                     26,                 1.1848,                0.65044,                 1.1595,                0.93717,                0.59336,                0.63684,                0.41622,                  1.261,                0.62285,                 1.2672,              0.0010753,              0.0010753,              0.0010753
                     27,                 1.1902,                0.64542,                 1.1652,                0.94033,                0.59405,                0.63504,                0.41578,                 1.2559,                 0.6181,                 1.2542,              0.0010612,              0.0010612,              0.0010612
                     28,                 1.1813,                0.63799,                 1.1554,                 0.9411,                0.59267,                 0.6372,                0.41423,                 1.2841,                0.62166,                 1.2752,               0.001047,               0.001047,               0.001047
                     29,                 1.1844,                 0.6301,                  1.153,                0.95045,                0.58909,                0.63773,                0.41963,                 1.2567,                0.62598,                 1.2619,              0.0010329,              0.0010329,              0.0010329
                     30,                 1.1699,                0.62344,                 1.1564,                0.95279,                0.58073,                0.63766,                0.41853,                 1.2484,                0.60326,                 1.2598,              0.0010187,              0.0010187,              0.0010187
                     31,                 1.1666,                0.61782,                 1.1478,                 0.9499,                0.59502,                0.63784,                0.42109,                 1.2469,                0.61303,                 1.2511,              0.0010046,              0.0010046,              0.0010046
                     32,                  1.169,                0.62381,                 1.1466,                0.95069,                0.58858,                0.63594,                0.41756,                 1.2594,                  0.617,                 1.2651,             0.00099044,             0.00099044,             0.00099044
                     33,                 1.1642,                0.61178,                 1.1479,                0.94423,                0.59368,                0.64201,                0.41746,                 1.2538,                0.61207,                 1.2574,             0.00097629,             0.00097629,             0.00097629
                     34,                 1.1574,                0.61501,                 1.1406,                   0.95,                0.59326,                0.64022,                0.41846,                 1.2502,                0.61454,                 1.2502,             0.00096215,             0.00096215,             0.00096215
                     35,                 1.1504,                0.61052,                 1.1308,                 0.9492,                0.58632,                0.63813,                0.41863,                 1.2497,                0.59686,                 1.2539,               0.000948,               0.000948,               0.000948
                     36,                 1.1421,                0.60261,                 1.1419,                0.95709,                0.58568,                0.63914,                0.42383,                 1.2414,                0.59159,                 1.2478,             0.00093385,             0.00093385,             0.00093385
                     37,                 1.1363,                 0.6022,                 1.1337,                0.61528,                0.58838,                0.63428,                0.41944,                 1.2397,                0.60163,                 1.2508,              0.0009197,              0.0009197,              0.0009197
                     38,                 1.1314,                0.59748,                 1.1259,                0.95239,                0.58138,                0.63607,                0.41972,                 1.2428,                0.60908,                 1.2461,             0.00090556,             0.00090556,             0.00090556
                     39,                 1.1291,                 0.5883,                 1.1249,                0.96012,                0.57648,                0.63496,                0.41816,                 1.2566,                0.60226,                 1.2646,             0.00089141,             0.00089141,             0.00089141
                     40,                  1.122,                0.58361,                 1.1223,                0.94253,                0.59995,                0.63963,                0.42473,                 1.2352,                0.59056,                 1.2403,             0.00087726,             0.00087726,             0.00087726
                     41,                  1.128,                0.57564,                 1.1196,                0.93926,                0.60044,                0.63727,                0.42355,                 1.2507,                0.59578,                 1.2524,             0.00086312,             0.00086312,             0.00086312
                     42,                 1.1178,                 0.5766,                 1.1181,                0.93891,                 0.5911,                0.63601,                0.42351,                 1.2461,                0.60174,                 1.2568,             0.00084897,             0.00084897,             0.00084897
                     43,                 1.1054,                0.57198,                 1.1148,                0.95166,                 0.5835,                0.63552,                0.41833,                 1.2559,                0.60125,                 1.2567,             0.00083482,             0.00083482,             0.00083482
                     44,                 1.1072,                0.57527,                 1.1153,                0.94768,                0.59326,                0.63883,                0.42148,                 1.2507,                0.59195,                 1.2556,             0.00082067,             0.00082067,             0.00082067
                     45,                 1.1071,                0.56918,                 1.1084,                0.95369,                0.58499,                0.63639,                0.42001,                  1.247,                0.59907,                 1.2539,             0.00080653,             0.00080653,             0.00080653
                     46,                 1.1019,                0.56292,                 1.1061,                0.61238,                0.59362,                0.63899,                0.42487,                 1.2429,                 0.5862,                 1.2459,             0.00079238,             0.00079238,             0.00079238
                     47,                 1.0898,                0.55726,                  1.106,                0.63069,                0.60467,                0.63728,                0.42459,                 1.2301,                0.58815,                 1.2382,             0.00077823,             0.00077823,             0.00077823
                     48,                 1.0893,                0.55271,                 1.1054,                0.62023,                0.59503,                0.63834,                0.42243,                 1.2466,                0.59593,                 1.2475,             0.00076409,             0.00076409,             0.00076409
                     49,                 1.0825,                0.53913,                 1.0966,                0.61929,                0.58621,                0.63671,                0.42251,                 1.2466,                0.59198,                 1.2465,             0.00074994,             0.00074994,             0.00074994
                     50,                 1.0795,                0.55023,                 1.1072,                0.62488,                0.59125,                0.63659,                 0.4235,                 1.2438,                0.60082,                 1.2477,             0.00073579,             0.00073579,             0.00073579
                     51,                  1.075,                0.54298,                 1.0905,                0.66515,                0.61556,                0.63856,                0.42486,                 1.2428,                0.58298,                 1.2551,             0.00072164,             0.00072164,             0.00072164
                     52,                 1.0648,                0.53221,                 1.0915,                0.61816,                0.58891,                0.63436,                0.42291,                 1.2443,                0.60305,                 1.2558,              0.0007075,              0.0007075,              0.0007075
                     53,                 1.0637,                0.53416,                 1.0884,                0.62325,                0.58901,                0.63714,                0.42532,                 1.2348,                0.59559,                 1.2492,             0.00069335,             0.00069335,             0.00069335
                     54,                 1.0556,                0.52739,                 1.0766,                0.94858,                0.59293,                0.63661,                0.42337,                 1.2392,                0.58792,                 1.2412,              0.0006792,              0.0006792,              0.0006792
                     55,                 1.0571,                 0.5261,                 1.0803,                 0.6676,                0.60876,                0.63803,                0.42491,                 1.2379,                0.58269,                 1.2457,             0.00066506,             0.00066506,             0.00066506
                     56,                  1.039,                0.51751,                 1.0763,                0.62617,                0.61156,                0.63609,                0.42718,                  1.238,                0.59588,                 1.2432,             0.00065091,             0.00065091,             0.00065091
                     57,                 1.0517,                0.52381,                  1.078,                0.62969,                0.60021,                0.63759,                0.42627,                 1.2429,                0.59389,                 1.2544,             0.00063676,             0.00063676,             0.00063676
                     58,                 1.0398,                0.51375,                 1.0745,                0.62407,                0.59231,                0.63657,                 0.4241,                 1.2395,                0.58995,                 1.2528,             0.00062262,             0.00062262,             0.00062262
                     59,                 1.0288,                0.51068,                 1.0746,                0.62593,                0.58883,                0.63577,                0.42426,                 1.2488,                 0.5991,                 1.2551,             0.00060847,             0.00060847,             0.00060847
                     60,                 1.0235,                 0.5069,                 1.0727,                0.61998,                0.58856,                0.63545,                0.42461,                 1.2337,                0.58824,                 1.2509,             0.00059432,             0.00059432,             0.00059432
                     61,                 1.0219,                0.50361,                 1.0786,                0.61602,                0.59367,                0.63334,                0.42404,                 1.2381,                0.59868,                 1.2456,             0.00058017,             0.00058017,             0.00058017
                     62,                 1.0125,                0.50002,                 1.0686,                0.62474,                0.58675,                 0.6342,                0.42298,                 1.2379,                0.59985,                  1.254,             0.00056603,             0.00056603,             0.00056603
                     63,                   1.01,                 0.4942,                 1.0618,                0.63317,                0.59111,                0.63542,                0.42546,                 1.2375,                0.59794,                 1.2544,             0.00055188,             0.00055188,             0.00055188
                     64,                 1.0013,                0.49047,                 1.0585,                0.61429,                0.58888,                0.62942,                 0.4208,                 1.2412,                0.60229,                 1.2605,             0.00053773,             0.00053773,             0.00053773
                     65,                0.99011,                0.48496,                 1.0574,                0.62428,                0.58832,                0.62932,                0.41991,                 1.2388,                0.60015,                 1.2619,             0.00052359,             0.00052359,             0.00052359
                     66,                 1.0009,                0.48692,                 1.0621,                0.62963,                 0.5848,                0.63322,                0.42376,                 1.2358,                0.60287,                 1.2572,             0.00050944,             0.00050944,             0.00050944
                     67,                0.99385,                0.47867,                 1.0516,                0.62708,                0.57954,                0.63393,                0.42537,                 1.2349,                0.59047,                 1.2554,             0.00049529,             0.00049529,             0.00049529
                     68,                0.97814,                0.47411,                 1.0509,                0.61735,                0.60859,                0.63471,                0.42314,                 1.2456,                0.60085,                 1.2623,             0.00048114,             0.00048114,             0.00048114
                     69,                0.98067,                0.47316,                 1.0518,                0.61875,                0.59615,                0.63524,                0.42536,                 1.2458,                0.60295,                 1.2675,               0.000467,               0.000467,               0.000467
                     70,                0.98049,                0.46731,                 1.0475,                0.61991,                0.59398,                0.63244,                0.42644,                 1.2392,                0.59772,                 1.2595,             0.00045285,             0.00045285,             0.00045285
                     71,                0.96094,                0.46217,                 1.0398,                0.63161,                0.58494,                0.63228,                0.42635,                 1.2378,                0.59904,                 1.2471,              0.0004387,              0.0004387,              0.0004387
                     72,                0.96599,                 0.4627,                 1.0419,                0.62249,                0.59045,                0.63123,                0.42455,                 1.2425,                0.60908,                 1.2561,             0.00042456,             0.00042456,             0.00042456
                     73,                0.95715,                0.45673,                 1.0366,                0.62881,                 0.6009,                0.63102,                0.42395,                 1.2477,                0.61306,                 1.2642,             0.00041041,             0.00041041,             0.00041041
                     74,                0.94672,                0.44878,                 1.0298,                0.62913,                0.58316,                0.63053,                0.42268,                 1.2445,                0.61671,                 1.2635,             0.00039626,             0.00039626,             0.00039626
                     75,                0.95499,                 0.4534,                 1.0331,                0.64293,                0.60643,                0.63389,                0.42489,                 1.2422,                0.60908,                 1.2577,             0.00038211,             0.00038211,             0.00038211
                     76,                0.94846,                0.45573,                 1.0354,                0.62682,                0.58815,                0.63085,                0.42316,                 1.2492,                 0.6088,                 1.2694,             0.00036797,             0.00036797,             0.00036797
                     77,                0.94465,                0.45218,                 1.0292,                0.62735,                0.58488,                0.63133,                0.42238,                 1.2521,                0.61899,                 1.2696,             0.00035382,             0.00035382,             0.00035382
                     78,                0.94121,                0.44588,                 1.0245,                0.61384,                 0.6159,                 0.6312,                0.42391,                  1.253,                0.60828,                  1.271,             0.00033967,             0.00033967,             0.00033967
                     79,                0.92326,                 0.4422,                 1.0219,                0.62722,                0.59164,                0.63241,                0.42467,                 1.2524,                0.61202,                 1.2681,             0.00032553,             0.00032553,             0.00032553
                     80,                0.92045,                0.43892,                 1.0194,                 0.6289,                0.58848,                0.63115,                0.42533,                 1.2489,                0.60612,                 1.2678,             0.00031138,             0.00031138,             0.00031138
                     81,                0.91244,                0.43437,                 1.0152,                0.62473,                 0.5903,                0.63037,                0.42477,                  1.251,                 0.6202,                 1.2685,             0.00029723,             0.00029723,             0.00029723
                     82,                0.90875,                0.43634,                 1.0127,                 0.6257,                0.58851,                0.63012,                0.42289,                 1.2516,                0.61167,                 1.2721,             0.00028308,             0.00028308,             0.00028308
                     83,                0.91166,                0.43181,                 1.0155,                0.63527,                0.59539,                0.62928,                0.42387,                 1.2485,                  0.608,                 1.2731,             0.00026894,             0.00026894,             0.00026894
                     84,                0.90297,                0.42413,                 1.0159,                0.61753,                0.59675,                0.63032,                0.42424,                 1.2526,                0.62565,                 1.2767,             0.00025479,             0.00025479,             0.00025479
                     85,                0.89124,                0.42466,                 1.0083,                 0.6322,                0.61029,                0.62981,                0.42403,                 1.2562,                0.62179,                 1.2776,             0.00024064,             0.00024064,             0.00024064
                     86,                0.89072,                0.42148,                 1.0046,                0.61872,                 0.5965,                0.62934,                0.42382,                 1.2545,                0.62285,                 1.2789,              0.0002265,              0.0002265,              0.0002265
                     87,                0.89543,                0.42508,                  1.004,                 0.6189,                0.59644,                0.63047,                0.42411,                 1.2548,                 0.6181,                 1.2767,             0.00021235,             0.00021235,             0.00021235
                     88,                0.88237,                  0.416,                 1.0065,                0.61862,                 0.5966,                0.62973,                0.42432,                 1.2527,                0.62249,                 1.2732,              0.0001982,              0.0001982,              0.0001982
                     89,                0.86951,                 0.4126,                0.99668,                0.61292,                0.60067,                0.62945,                0.42389,                 1.2571,                0.62214,                 1.2832,             0.00018406,             0.00018406,             0.00018406
                     90,                0.87728,                0.41513,                0.99967,                0.64087,                0.58912,                0.62791,                0.42326,                 1.2601,                0.63319,                 1.2881,             0.00016991,             0.00016991,             0.00016991
                     91,                0.87508,                0.36171,                 1.0142,                0.64205,                0.59071,                0.62651,                0.42177,                 1.2571,                0.62676,                 1.2871,             0.00015576,             0.00015576,             0.00015576
                     92,                 0.8595,                0.35344,                0.99702,                0.61881,                0.58874,                0.62738,                0.42359,                 1.2612,                0.62989,                 1.2898,             0.00014161,             0.00014161,             0.00014161
                     93,                0.85316,                0.35203,                0.99876,                0.61748,                 0.6053,                0.62836,                0.42486,                 1.2591,                0.62526,                 1.2886,             0.00012747,             0.00012747,             0.00012747
                     94,                0.85107,                0.35191,                 1.0021,                0.60742,                0.61373,                0.62692,                0.42414,                 1.2596,                0.62945,                 1.2831,             0.00011332,             0.00011332,             0.00011332
                     95,                 0.8403,                0.34943,                0.99236,                0.61687,                0.59253,                0.62689,                0.42437,                 1.2622,                 0.6312,                 1.2869,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                0.83426,                  0.346,                0.98857,                 0.6207,                0.58883,                0.62716,                0.42532,                 1.2629,                0.63347,                 1.2909,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                0.82724,                0.34168,                0.98614,                0.62138,                0.58651,                 0.6264,                0.42336,                 1.2622,                 0.6295,                 1.2922,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                 0.8188,                0.33929,                0.98638,                0.61653,                0.59453,                0.62662,                0.42347,                 1.2633,                0.63104,                 1.2952,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                0.81434,                0.33659,                0.98003,                0.62067,                 0.5925,                0.62718,                0.42545,                 1.2633,                0.62876,                 1.2961,             4.2584e-05,             4.2584e-05,             4.2584e-05
                    100,                0.81522,                0.33726,                0.98066,                0.61631,                0.59222,                0.62702,                0.42542,                 1.2634,                0.63222,                 1.2972,             2.8437e-05,             2.8437e-05,             2.8437e-05
